provinsi,penduduk_miskin,life_expentancy,buta_huruf,partisipasi_sekolah,ipm,tpak,lama_sekolah,pengangguran
Aceh,15.68,69.64,0.13,37.61,71.19,64.24,9.46,149723
Sumatera Utara,8.94,68.61,0.26,29.97,71.18,71.82,9.61,396027
Sumatera Barat,6.55,69.01,0.17,38.23,71.73,67.26,9.1,141680
Riau,7.21,71.19,0.1,31.68,72.44,65.23,9.11,192801
Jambi,7.85,70.89,0.29,26.16,70.65,68.46,8.7,69075
Sumatera Selatan,12.82,69.41,0.22,18.98,69.39,68.69,8.48,175087
Bengkulu,15.41,68.84,0.18,32.34,70.64,70.06,8.94,35061
Lampung,13.01,70.18,0.14,24.06,69.02,69.67,8.29,171689
Kep. Bangka Belitung,4.77,70.18,0.84,18.66,70.67,67.79,8.24,26552
Kep. Riau,5.83,69.64,0.15,19.73,74.84,64.72,10.01,69113
Dki Jakarta,3.55,72.67,0.07,28.05,80.47,63.95,11.06,314841
Jawa Barat,7.25,72.66,0.26,25.46,71.3,62.92,8.61,1848234
Jawa Tengah,11.19,74.18,0.34,25.54,71.12,68.56,7.84,814347
Di Yogyakarta,11.81,74.82,0.09,56.81,79.53,73.37,9.73,73350
Jawa Timur,10.85,70.97,1.04,25.19,70.77,69.37,7.93,850474
Banten,5.25,69.64,0.13,23.78,71.95,63.49,8.93,496732
Bali,3.91,71.68,0.22,30.02,74.77,76.78,9,34485
Nusa Tenggara Barat,14.63,65.87,2.72,29.46,67.3,65.91,7.69,83257
Nusa Tenggara Timur,21.03,66.38,3.03,31.78,64.39,70.17,7.7,74748
Kalimantan Barat,7.37,70.18,1.63,27.91,66.98,68.65,7.65,104518
Kalimantan Tengah,5.1,69.64,0.12,28.97,70.42,70.03,8.66,54397
Kalimantan Selatan,4.65,68.23,0.17,27.71,70.17,70.27,8.45,95278
Kalimantan Timur,6.06,73.96,0.2,35.06,75.83,64.99,9.63,114313
Kalimantan Utara,6.86,72.5,1.38,26.01,70.56,67.81,9.18,17797
Sulawesi Utara,7.59,71.26,0.11,23.62,72.2,63.01,9.51,80664
Sulawesi Tengah,13.69,67.78,0.81,29.95,68.88,69.52,8.74,51481
Sulawesi Selatan,8.87,70.08,2.02,36.8,70.9,63.02,8.45,213105
Sulawesi Tenggara,11.32,70.72,1.08,34.02,70.61,69.78,9.03,40724
Gorontalo,15.83,67.45,0.41,34.64,67.71,67.34,7.83,23347
Sulawesi Barat,11.22,64.58,3.29,27.96,65.1,68.46,7.94,20227
Maluku,17.85,65.59,0.76,42.26,68.87,62.9,9.78,54891
Maluku Utara,6.62,67.8,0.29,36.56,67.76,65.21,9.07,25831
Papua Barat,22.66,65.55,1.83,36.07,63.74,67.88,9.73,28086
Papua,27.43,65.36,21.2,27.3,60.06,79.11,6.66,58756
